Timestamp,Minutes,Hours,Methane_Volume,Cumulative_Methane_Volume
01/04_11:13,0.0,0.0,0.0,0.0
01/04_11:14,0.9999,0.0167,13.0,13.0
01/04_11:15,2.0001,0.0333,0.1,13.1
01/04_11:21,8.4387,0.1406,0.2,13.3
01/04_11:52,38.7648,0.6461,0.1,13.4
01/04_12:22,68.7648,1.1461,0.2,13.6
01/04_16:52,338.7654,5.6461,0.5,14.1
02/04_10:54,1420.5761,23.6763,1.0,15.1
02/04_12:54,1540.5835,25.6764,0.4,15.5
02/04_13:24,1570.5834,26.1764,0.1,15.6
02/04_13:54,1600.5837,26.6764,0.3,15.9
02/04_14:24,1630.5837,27.1764,0.1,16.0
02/04_14:54,1660.5836,27.6764,0.1,16.1
02/04_15:24,1690.5835,28.1764,0.1,16.2
02/04_15:54,1720.5835,28.6764,0.0,16.2
02/04_16:24,1750.5837,29.1764,0.0,16.2
02/04_16:54,1780.5838,29.6764,0.0,16.2
02/04_17:24,1810.5835,30.1764,0.05,16.25
02/04_17:54,1840.5902,30.6765,0.05,16.3
02/04_19:54,1960.5908,32.6765,0.05,16.35
02/04_21:54,2080.5924,34.6765,0.05,16.4
02/04_23:54,2200.5966,36.6766,0.05,16.45
03/04_01:54,2320.5967,38.6766,0.05,16.5
03/04_03:54,2440.5965,40.6766,0.05,16.55
03/04_05:54,2560.6014,42.6767,0.05,16.6
03/04_07:54,2680.6034,44.6767,0.05,16.65
03/04_09:54,2800.6034,46.6767,0.2,16.85
03/04_12:54,2980.6123,49.6769,0.2,17.05
03/04_13:54,3040.6122,50.6769,0.2,17.25
03/04_14:24,3070.6131,51.1769,0.1,17.35
