Time,Sucrose,Glucose,Fructose,Lactate,Acetate,Propionate,Ethanol
0,1.938761681249128,1.396777168963872,2.9407293628792455,1.0930851146327454,0.672862503536832,0.5194737358462799,0.20148092306884266
1,1.7631138481286213,1.2454062326680277,2.6334530600277213,0.8694837616206703,0.6599941304612579,0.4712110009178752,0.0867251641503892
2,2.091498927440873,1.2454062326680277,2.437240481098435,0.8554692496658215,0.5435746315055963,0.4492552381617215,0.06553948558082855
3,2.0533146158929365,1.2681118731124044,2.411325612183246,0.8450672497210251,0.5353943350252134,0.4495358174135919,0.05936032933137336
4,2.0533146158929365,1.3248759742233458,2.5075808395825185,0.84523266313627,0.5452622017271644,0.45600240364433237,0.05494664629604823
5,2.091498927440873,1.3589344348899108,2.503878715451777,0.8418317843487497,0.5369887343314907,0.46374138371804535,0.05141569986778813
6,1.755476985819034,1.181073584742294,2.1003471852009805,0.7442544369832063,0.48822836076877224,0.4197086477425271,0.08495969093625913
24,1.1903491749095776,0.001376561807477968,2.0670280680243094,0.9907552959237456,0.6281417278420334,0.5889614049055851,0.5837058739279992
26,0.22275872028487329,0.03595245166423262,1.88335532395067,1.2185177262457267,0.6983864354135552,0.6069305141138637,0.5978296596410396
28,0.11966107910544545,0,1.6150401754510668,1.0678626838638785,0.6436544883657684,0.5541483052326431,0.4592400123318304
46,0.05398406324299511,0,1.613443079101065,1.0159724363549376,0.9927410471220489,0.6644810892244474,0.412454972157384
48,0.05398406324299511,0,1.6613726291597066,1.01498505561755,1.0638238625593937,0.6916472416105925,0.47954295429432603
50,0.07231253278600451,0,1.6115090894551658,0.9654399655109415,1.099636280891767,0.7071865946831161,0.3992139230514086
70,0,0,1.4432064541351246,0.7888938331092333,1.273914478714452,0.7338870551300543,0.32329857484381636
72,0,0,1.3435663746431152,0.7193715867464227,1.1103245919022342,0.6881472977396498,0.212073762353623
74,0,0,1.5095322292118327,0.7822788211681855,1.3562391365459825,0.7896852810745082,0.31005752573784096
94,0,0,1.529810614137968,0.6183406938031415,1.61579404969787,0.889212485743691,0.2420868069938339
96,0,0,1.60463313430714,0.6146699815068195,1.7061216633595189,0.9449569315612274,0.22178386503133826
98,0,0,1.4308532063356671,0.5247887282291104,1.5654608961439604,0.860344641844731,0.20412913289003773
